Study,Publication years,Reference NO.,Experiment name,Treatment,Nitrogen,Tdelta,Note (temperature type),Lat,Long,biome type,MAP,MAT,Soil type,Additional soil info,N-class,SCN,Extracted,Source ,Ecosystems,Warming method,Vegetation type,Total-Biomass.control,Csd,Total-Biomass.warmed,Tsd,n,RR,Variance (v),,Aoveground -Biomass.control,Csd,Aboveground-Biomass.warmed,Tsd,n,RR,Variance (v),,Belowground-Biomass.control,Csd,Belowground-Biomass.warmed,Tsd,n,RR,Variance (v),Note,Duration,,Source,Data source ,Species-1,Species-2,Species-3,Mycorrhizal Type
Chen,2016,63,Haibei Grassland Ecological Monitoring Station,,n,1.03,soil temperature,36.95,100.85,Temperate,408.45,1.34,,,,12.5,,Auhor contact,Grassland,OTC,Herb,2167.808104,140.661213,2609.57941,100.0308363,6,0.185472496,0.000946599,,327.1186441,13.55932203,388.1355932,15.25423729,6,0.171031815,0.000543793,,1840.68946,127.101891,2221.443817,84.77659901,6,0.188017145,0.001037413,Data taken from 2013,3.5,,"Chen et al. 2016. Agricultural and Forest Meteorology, 220 ,21–29",Figure 1,Stipa sareptana var. krylovii,Stipa purpurea,,AM
Hungate,data taken from 2014,PC,Jasper,,n,2.25,air temperature,41.18333333,-104.9,Temperate,384,17.5,,,,12.02 ,,,Grassland,passive warming,Herb,443.3425,58.99199345,419.68,66.4552133,8,-0.054850093,0.008481654,,239.1937625,14.25965205,224.876575,29.58385751,8,-0.061722249,0.004770995,,682.5362625,57.93965029,644.556575,29.58385751,8,-0.057253058,0.001427419,data taken from 2014,15,,Jasper data set,Jasper data set,Pascopyrum smthii,Hesperostipa comata,Bouteloua gracilis,AM
Hungate,data taken from 2014,PC,Jasper,+water,y,2.25,air temperature,41.18333333,-104.9,Temperate,384,17.5,,,,10.88 ,,,Grassland,passive warming,Herb,699.7825,98.6653371,671.7825,81.42121597,8,-0.040834945,0.005422897,,259.476525,20.87105062,259.649775,27.00953145,8,0.000667468,0.002972882,,959.259025,112.6199206,931.432275,91.86529676,8,-0.029437655,0.00366843,data taken from 2014,15,,Jasper data set,Jasper data set,Pascopyrum smthii,Hesperostipa comata,Bouteloua gracilis,AM
Hungate,data taken from 2014,PC,Jasper,+N,n,2.25,air temperature,41.18333333,-104.9,Temperate,384,17.5,,,,12.02 ,,,Grassland,passive warming,Herb,434.23625,73.89553147,487.53125,45.65921142,8,0.11576565,0.005374092,,215.324725,48.43672503,296.2498,58.387794,8,0.31905578,0.014094036,,649.560975,92.93608434,783.78105,68.29735717,8,0.187832997,0.004077432,data taken from 2014,15,,Jasper data set,Jasper data set,Pascopyrum smthii,Hesperostipa comata,Bouteloua gracilis,AM
Yangguang Ji,2017,64,Naqu station,,n,4.94,air temperature,33.66666667,101.8666667,Temperate,620,1.2,,,,14.58,,"Zhang et al., 2020.Environment International 141, 105795",Grassland,OTC,Herb,,,,,,,,,279.2235438,32.98140811,373.5506799,44.26823673,3,0.291040991,0.009331918,,,,,,,,,Figure 6-2,1.5,,Yangguang Ji. 2017. Master disertation for Nanjing agricultural university,,Kobresia eapillifol,Stipaalien ,,AM
Yangguang Ji,2017,64,Naqu station,+N,y,4.94,air temperature,33.66666667,101.8666667,Temperate,620,1.2,,,,13.82,,"Zhang et al., 2020.Environment International 141, 105795",Grassland,OTC,Herb,,,,,,,,,557.1428571,44.04761905,491.7598943,21.75226586,3,-0.124831105,0.002735687,,,,,,,,,Figure 6-2,1.5,,Yangguang Ji. 2017. Master disertation for Nanjing agricultural university,,Kobresia eapillifol,Stipaalien ,,AM
Yangguang Ji,2017,64,Naqu station,+water,n,4.94,air temperature,33.66666667,101.8666667,Temperate,806,1.2,,,,14.58,,"Zhang et al., 2020.Environment International 141, 105795",Grassland,OTC,Herb,,,,,,,,,348.0988907,35.88690914,311.5284186,27.1913405,3,-0.110996043,0.00608227,,,,,,,,,Figure 6-2,1.5,,Yangguang Ji. 2017. Master disertation for Nanjing agricultural university,,Kobresia eapillifol,Stipaalien ,,AM
Yangguang Ji,2017,64,Naqu station,+drought,n,4.94,air temperature,33.66666667,101.8666667,Temperate,434,1.2,,,,14.58,,"Zhang et al., 2020.Environment International 141, 105795",Grassland,OTC,Herb,,,,,,,,,251.6023957,19.13680782,254.5557501,38.06948977,3,0.011669823,0.009383693,,,,,,,,,Figure 6-2,1.5,,Yangguang Ji. 2017. Master disertation for Nanjing agricultural university,,Kobresia eapillifol,Stipaalien ,,AM
YIiqing Ge,2019,65,Tibet,,n,0.81,soil temperature,38.35,92.28333333,Temperate,380,-1,,,,14.5,,Author contact,Grassland,OTC,Herb,,,,,,,,,65.63700229,2.429009569,115.7074399,1.213964644,3,0.566925339,0.000493191,,,,,,,,,Figure 1,4,,"Yiqing Ge et al., 2019. Ecology and Environmental Sciences,28(11): 2185-2191",,Kobresia pygmaea,Carex moorcroftii,,AM
YIiqing Ge,2019,65,Tibet,+N,y,0.81,soil temperature,38.35,92.28333333,Temperate,380,-1,,,,13.2,,Author contact,Grassland,OTC,Herb,,,,,,,,,137.5307162,1.699010362,113.3043571,1.456757573,3,-0.19376966,0.000105972,,,,,,,,,Figure 1,4,,"Yiqing Ge et al., 2019. Ecology and Environmental Sciences,28(11): 2185-2191",,Kobresia pygmaea,Carex moorcroftii,,AM
Qian Wu,2019,66,SIziwang Qi,,n,0.7,soil temperature,41.78805556,111.8961111,Temperate,311,3.7,,,,7.62 ,,"Zhen Wang et al., 2012.pHD Disertation for Inner MongoliaAgricultural University.Table 2",Grassland,infrared heater,Herb,,,,,,,,,28.01432639,5.668268375,35.66804592,8.299964406,3,0.241539179,0.031696242,,,,,,,,,Figure 16,12,,Qian Wu. 2019. Phd disertation for Inner MongoliaAgricultural University,,Stipa breviflora,Cleistogenes songorica,,AM
Qian Wu,2019,66,SIziwang Qi,+N,y,0.7,soil temperature,41.78805556,111.8961111,Temperate,311,3.7,,,,6.29 ,,"Zhen Wang et al., 2012.pHD Disertation for Inner MongoliaAgricultural University.Table 2",Grassland,infrared heater,Herb,,,,,,,,,40.6478021,8.500177968,36.16742303,8.903941983,3,-0.116785968,0.034779394,,,,,,,,,Figure 16,12,,Qian Wu. 2019. Phd disertation for Inner MongoliaAgricultural University,,Stipa breviflora,Cleistogenes songorica,,AM
Decheng Xiong,2018,67,Chenda Research Station,,n,5,soil temperature,26.31666667,117.6,Other,1750,19.1,,,,12.27 ,,"Xiong et al.,2018,  Soil Biology and Biochemistry ,123,180–189",Forest,Cable,Woody,,,,,,,,,,,,,,,,,176.922,18.095,181.221,20.359,5,0.024008323,0.004616317,Figure 6,3,,"Xiong et al.,2018,  Soil Biology and Biochemistry ,123,180–189",,Cunninghamia lanceolata,,,AM
Decheng Xiong,2018,67,Chenda Research Station,+N,y,5,soil temperature,26.31666667,117.6,Other,1750,19.1,,,,11.6,,"Xiong et al.,2018,  Soil Biology and Biochemistry ,123,180–189",Forest,Cable,Woody,,,,,,,,,,,,,,,,,229.976,21.493,157.354,19.228,5,-0.379476911,0.004733227,Figure 6,3,,"Xiong et al.,2018,  Soil Biology and Biochemistry ,123,180–189",,Cunninghamia lanceolata,,,AM
Hanson,2020,68,SPRUCE,,n,2.25,air temperature,48.82222222,-49.72222222,Temperate,768,3.3,,,,45,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Forest,Cable,Woody,,,,,,,,,387.983,41.47990843,352.787,70.16794009,4,-0.095097049,0.012747435,,,,,,,,,,5,,"Norby RJ, Childs J. 2018. SPRUCE: Sphagnum Productivity and Community Composition in the SPRUCE Experimental Plots. Oak Ridge National Laboratory, TES SFA, U.S. Department of Energy, Oak Ridge, Tennessee, U.S.A.",,Picea mariana,Sphagnum spp,,ECM
Hanson,2020,68,SPRUCE,,n,4.5,air temperature,48.82222222,-49.72222222,Temperate,768,3.3,,,,45,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Forest,Cable,Woody,,,,,,,,,387.983,41.47990843,738.552,73.71361694,4,0.643729988,0.00534795,,,,,,,,,,5,,"Norby RJ, Childs J. 2018. SPRUCE: Sphagnum Productivity and Community Composition in the SPRUCE Experimental Plots. Oak Ridge National Laboratory, TES SFA, U.S. Department of Energy, Oak Ridge, Tennessee, U.S.A.",,Picea mariana,Sphagnum spp,,ECM
Hanson,2020,68,SPRUCE,,n,6.75,air temperature,48.82222222,-49.72222222,Temperate,768,3.3,,,,45,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Forest,Cable,Woody,,,,,,,,,387.983,41.47990843,505.415,55.01906742,4,0.26441835,0.005227591,,,,,,,,,,5,,"Norby RJ, Childs J. 2018. SPRUCE: Sphagnum Productivity and Community Composition in the SPRUCE Experimental Plots. Oak Ridge National Laboratory, TES SFA, U.S. Department of Energy, Oak Ridge, Tennessee, U.S.A.",,Picea mariana,Sphagnum spp,,ECM
Hanson,2020,68,SPRUCE,,n,9,air temperature,48.82222222,-49.72222222,Temperate,768,3.3,,,,45,,"Malhotra et al., 2020.PNAS. 117,17627–17634",Forest,Cable,Woody,,,,,,,,,387.983,41.47990843,941.91,27.50953371,4,0.886948204,0.003028125,,,,,,,,,,5,,"Norby RJ, Childs J. 2018. SPRUCE: Sphagnum Productivity and Community Composition in the SPRUCE Experimental Plots. Oak Ridge National Laboratory, TES SFA, U.S. Department of Energy, Oak Ridge, Tennessee, U.S.A.",,Picea mariana,Sphagnum spp,,ECM
Zong,2018,69,Damxung County,,n,1.6,air temperature,30.5,91.06,Temperate,477,1.3,sandy loam,,H,8.5,,PC,Grassland,OTC,Herb,732.9316488,113.5129848,816.918506,92.1287419,4,0.108486893,0.00917619,,168.4717185,19.43632977,95.66415057,8.505048525,4,-0.565924267,0.00530351,,564.4599303,94.07665505,721.2543554,83.62369338,4,0.245122458,0.010305083,Figure 1,5,,"Zong et al., 2018, Journal of Plant Growth Regulation , 37:803–812",, Kobresia pygmaea, Kobresia pygmaea,,AM
Zong,2018,69,Damxung County,+N,y,1.6,air temperature,30.5,91.06,Temperate,477,1.3,sandy loam,,H,8.5,,PC,Grassland,OTC,Herb,919.4551228,127.9748996,1115.044627,86.64137252,4,0.192868471,0.006352563,,260.9185374,18.21880208,163.8251152,29.15008333,4,-0.465408753,0.009134046,,658.5365854,109.7560976,951.2195122,57.4912892,4,0.36772478,0.00785768,Figure 1,5,,"Zong et al., 2018, Journal of Plant Growth Regulation , 37:803–812",,Carex montis-everestii,Carex montis-everestii,,AM
Fang,2015,70,Gucheng station,,y,2.34,air temperature,39.13,115.67,Temperate,543,12.7,typical cinnamon soil,With N addtition,H,15.71 ,,"Fang et al., 2012, Science China,1021-1027, Materials and Method",Cropland,infrared heater,Herb,,,,,,,,,1201.010894,40.12158055,1527.827602,124.0121581,3,0.240683244,0.002568131,,,,,,,,,Data takn from both day and nithgt warming (Figure 3b),3,,"Fang et al., 2015, Europ. J. Agronomy 64 (2015) 67–77",Figure 3b,Wheat,,,AM
Dong,2011,71,FATI,,y,2,air temperature,32.03333333,118.8666667,Subtropical,1050,16.7,,,,9,SoilGrids2,,Cropland,infrared heater,Herb,,,,,,,,,18.3,0.242487113,16.9,0.484974226,3,-0.079587438,0.000333027,,,,,,,,,,2,,"Dong et  al., 2011.Field Crops Research,123 (2011) 259–265",Table 2,Rice,,,AM
Wang,2016,72,Changshu,,y,2,air temperature,31.5,120.55,Subtropical,1150,16,,,,5.4,SoilGrids2,,Cropland,infrared heater,Herb,13.07,0.190525589,10.67,0.727461339,3,-0.202883462,0.001620255,,,,,,,,,,,,,,,,,,4,,"Wang et al., 2016, Agriculture, Ecosystems and Environment 221 (2016) 40–49",Table 4,wheat,,,AM
Wang,2016,72,Changshu,,y,2,air temperature,31.5,120.55,Subtropical,1150,16,,,,5.4,SoilGrids2,,Cropland,infrared heater,Herb,20.52,0.727461339,19.19,0.190525589,3,-0.06701071,0.00045179,,,,,,,,,,,,,,,,,,4,,"Wang et al., 2016, Agriculture, Ecosystems and Environment 221 (2016) 40–49",Table 4,rice,,,AM
Keryn B. Gedan,2010,73,Prudence Island,,n,1.2,air temperature,41.76833333,-71.37861111,Temperate,1214.62,23,,,,15.8,SoilGrids2,,Grassland,Passive warming,Herb,,,,,,,,,776.0416667,198.8737822,1070.3125,220.9708691,8,0.321499728,0.022416915,,,,,,,,,,2,,"Gedan et al., 2010. Oecologia (2010) 164:479–487",,S. patens,,,AM
Weilu Wang,2018,74,Yangzhou city,,y,1,air temperature,32.58472222,119.7,Subtropical,1200,16,,,,7.4,SoilGrids2,,Cropland,infrared heater,Herb,,,,,,,,,1067.948718,95.72649573,717.9487179,74.78632479,3,-0.397096858,0.004848334,,,,,,,,,,2,,"Wang et al., 2018. European Journal of Agronomy 99 (2018) 21–29",,Rice,,,AM
Kai yang,2020,75,Fenghuo Shan,,n,2.5,air temperature,34.66666667,92.83333333,Temperate,270,-5.3,,,,17.5,,PC,Grassland,OTC,Herb,,,,,,,,,,,,,,,,,83.81119023,6.475548904,108.7585261,4.62182117,3,0.260563534,0.00259186,Figure 2,4,,"Yang et al., 2020. Acta Ecologica Sinica, 40, 6362-6373",Kobresia humilis,,,,AM
Kai yang,2020,75,Fenghuo Shan,,n,2.5,air temperature,34.66666667,92.83333333,Temperate,270,-5.3,,,,17.5,,PC,Grassland,OTC,Herb,,,,,,,,,,,,,,,,,113.334354,11.56080201,136.4304618,9.248641606,3,0.185472712,0.005000254,Figure 2,4,,"Yang et al., 2020. Acta Ecologica Sinica, 40, 6362-6373",Kobresia schoenoides,,,,AM
